id,region_id,delegacion,nivel,sede,created_at,updated_at
2,1,D-II-59,"SECUNDARIA GENERAL",PANUCO,NULL,NULL
3,2,D-III-13,"EDUCACION FISICA",TUXPAN,NULL,NULL
4,2,D-II-20,TELEBACHILLERATO,TUXPAN,NULL,NULL
5,4,D-I-77,PRIMARIAS,"JUCHIQUE DE FERRER",NULL,NULL
6,2,D-I-94,PRIMARIAS,TAMIAHUA,NULL,NULL
7,6,D-I-08,PRIMARIAS,CARDEL,NULL,NULL
8,2,D-I-09,PRIMARIAS,"CERRO AZUL",NULL,NULL
9,2,D-II-22,TELEBACHILLERATO,NARANJOS,NULL,NULL
10,7,D-II-31,TELEBACHILLERATO,COSCOMATEPEC,NULL,NULL
11,1,D-II-35,TELEBACHILLERATO,TANTOYUCA,NULL,NULL
12,2,D-II-53,"ESCUELA SECUENDARIA Y BACHILLERATO ABIERTO",TUXPAN,NULL,NULL
13,2,D-I-57,PRIMARIAS,TUXPAN,NULL,NULL
14,2,D-I-35,PRIMARIAS,NARANJOS,NULL,NULL
15,2,D-I-19,PRIMARIAS,CHONTLA,NULL,NULL
16,2,D-I-38,PRIMARIAS,OZULUAMA,NULL,NULL
17,1,D-I-71,PRIMARIAS,"BENITO JUAREZ",NULL,NULL
18,2,D-I-80,PREESCOLAR,TUXPAN,NULL,NULL
19,1,D-II-50,TELEBACHILLERATO,TEMPOAL,NULL,NULL
20,4,D-II-34,TELEBACHILLERATO,MISANTLA,NULL,NULL
21,5,D-I-60,PREESCOLAR,XALAPA,NULL,NULL
22,6,D-I-43,PRIMARIAS,"PIEDRAS NEGRAS",NULL,NULL
23,4,D-I-93,PRIMARIAS,"VEGA DE LA TORRE",NULL,NULL
24,4,D-III-15,"EDUCACION FISICA","MARTINEZ DE LA TORRE",NULL,NULL
25,9,D-II-12,"SECUNDARIA Y BACHILLERES",TLACOTALPAN,NULL,NULL
26,4,D-I-74,PRIMARIAS,TLAPACOYAN,NULL,NULL
27,4,D-II-32,TELEBACHILLERATO,"MARTINEZ DE LA TORRE",NULL,NULL
28,4,D-II-42,TELESECUNDARIA,"MARTINEZ DE LA TORRE",NULL,NULL
29,1,D-II-37,TELESECUNDARIA,TANTOYUCA,NULL,NULL
30,4,D-II-48,TELEBACHILLERATO,"SAN RAFAEL",NULL,NULL
31,4,D-I-30,PRIMARIAS,"MARTINEZ DE LA TORRE",NULL,NULL
32,4,D-I-33,PRIMARIAS,MISANTLA,NULL,NULL
33,9,D-II-14,BACHILLERATO,ALVARADO,NULL,NULL
34,6,D-I-58,PRIMARIAS,VERACRUZ,NULL,NULL
35,6,D-III-18,"EDUCACION FISICA",CARDEL,NULL,NULL
36,9,D-I-79,PREESCOLAR,ALVARADO,NULL,NULL
37,7,D-I-23,PRIMARIAS,HUATUSCO,NULL,NULL
38,5,D-II-58,TELEBACHILLERATO,XALAPA,NULL,NULL
39,7,D-I-66,FORANEAS,CORDOBA,NULL,NULL
40,4,D-I-88,PREESCOLAR,"MARTINEZ DE LA TORRE",NULL,NULL
41,8,D-I-78,PREESCOLAR,ORIZABA,NULL,NULL
42,10,D-I-48,PRIMARIAS,"SAN ANDRES TUXTLA",NULL,NULL
43,7,D-I-36,PRIMARIAS,OMEALCA,NULL,NULL
44,7,D-I-14,LOCALES,CORDOBA,NULL,NULL
45,10,D-I-25,PRIMARIAS,ISLA,NULL,NULL
46,9,D-II-29,NORMAL,TLACOTALPAN,NULL,NULL
