id,region,sede,created_at,updated_at
1,"REGIÓN I",TANTOYUCA,NULL,NULL
2,"REGIÓN II",TUXPAN,NULL,NULL
3,"REGIÓN III","POZA RICA",NULL,NULL
4,"REGIÓN IV","MARTÍNEZ DE LA TORRE",NULL,NULL
5,"REGIÓN V",XALAPA,NULL,NULL
6,"REGIÓN VI",VERACRUZ,NULL,NULL
7,"REGIÓN VII",CÓRDOBA,NULL,NULL
8,"REGIÓN VIII",ORIZABA,NULL,NULL
9,"REGIÓN IX",COSAMALOAPAN,NULL,NULL
10,"REGIÓN X","SAN ANDRES TUXTLA",NULL,NULL
11,"REGIÓN XI",MINATITLÁN,NULL,NULL
12,"REGIÓN XII",DSS,"2025-05-07 00:47:02","2025-05-07 00:47:02"
13,"SIN REGIÓN","SIN REGIÓN",NULL,NULL
